1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
172,1,R2_CHECK3,ADD_STOP,20:49:30,,#
173,1,R2_CHECK3,REMOVE_STOP,20:52:30,,#
174,1,R2_CHECK3,ADD_STOP,20:53:30,,#
175,1,R2_CHECK3,REMOVE_STOP,20:56:30,,#
176,1,R2_CHECK3,ADD_STOP,20:57:30,,#
177,1,R2_CHECK3,REMOVE_STOP,21:00:30,,#
178,1,R2_CHECK3,ADD_STOP,21:01:30,,#
179,1,R2_CHECK3,REMOVE_STOP,21:04:30,,#
180,1,R2_CHECK3,ADD_STOP,21:05:30,,#
181,1,R2_CHECK3,REMOVE_STOP,21:08:30,,#
182,1,R2_CHECK3,ADD_STOP,21:09:30,,#
183,1,R2_CHECK3,REMOVE_STOP,21:12:30,,#
184,1,R2_CHECK3,ADD_STOP,21:13:30,,#
185,1,R2_CHECK3,REMOVE_STOP,21:16:30,,#
186,1,R2_CHECK3,ADD_STOP,21:17:30,,#
187,1,R2_CHECK3,REMOVE_STOP,21:20:30,,#
188,1,R2_CHECK3,ADD_STOP,21:21:30,,#
189,1,R2_CHECK3,REMOVE_STOP,21:24:30,,#
190,1,R2_CHECK3,ADD_STOP,21:25:30,,#
191,1,R2_CHECK3,REMOVE_STOP,21:28:30,,#
192,1,R2_CHECK3,ADD_STOP,21:29:30,,#
193,1,R2_CHECK3,REMOVE_STOP,21:32:30,,#
194,1,R2_CHECK3,ADD_STOP,21:33:30,,#
195,1,R2_CHECK3,REMOVE_STOP,21:36:30,,#
196,1,R2_CHECK3,ADD_STOP,21:37:30,,#
197,1,R2_CHECK3,REMOVE_STOP,21:40:30,,#
198,1,R2_CHECK3,ADD_STOP,21:41:30,,#
199,1,R2_CHECK3,REMOVE_STOP,21:44:30,,#
200,1,R2_CHECK3,REMOVE_STOP,21:45:30,,#
201,1,R2_CHECK3,ADD_STOP,21:48:30,,#
202,1,R2_CHECK3,REMOVE_STOP,21:49:30,,#
203,1,R2_CHECK3,ADD_STOP,21:52:30,,#
204,1,R2_CHECK3,REMOVE_STOP,21:53:30,,#
205,1,R2_CHECK3,ADD_STOP,21:56:30,,#
206,1,R2_CHECK3,REMOVE_STOP,21:57:30,,#
207,1,R2_CHECK3,ADD_STOP,22:00:30,,#
208,1,R2_CHECK3,REMOVE_STOP,22:01:30,,#
209,1,R2_CHECK3,ADD_STOP,22:04:30,,#
210,1,R2_CHECK3,REMOVE_STOP,22:05:30,,#
211,1,R2_CHECK3,ADD_STOP,22:08:30,,#
212,1,R2_CHECK3,REMOVE_STOP,22:09:30,,#
213,1,R2_CHECK3,REMOVE_STOP,22:12:30,,#
214,1,R2_CHECK3,ADD_STOP,22:13:30,,#
215,1,R2_CHECK3,REMOVE_STOP,22:16:30,,#
216,1,R2_CHECK3,ADD_STOP,22:17:30,,#
217,1,R2_CHECK3,REMOVE_STOP,22:20:30,,#
218,1,R2_CHECK2,ADD_STOP,20:31:00,,#
219,1,R2_CHECK2,REMOVE_STOP,20:34:00,,#
220,1,R2_CHECK2,ADD_STOP,20:35:00,,#
221,1,R2_CHECK2,REMOVE_STOP,20:38:00,,#
222,1,R2_CHECK2,ADD_STOP,20:39:00,,#
