pedestrianID,pedestrian_moving_model,generated_time,current_traveling_period,generated_position,died_position,distnation_nodeID,assigned_passage_nodes,status
ag00102,Plain,252,1.0,53.79524851384777,0.0,100,,evacuated
ag00108,Plain,259,1.0,86.24203796307,0.0,100,,evacuated
ag00107,Plain,258,1.0,5.551908505125866,0.0,100,,evacuated
ag00106,Plain,257,1.0,61.84048085497516,0.0,100,,evacuated
ag00105,Plain,255,1.0,5.808276250572931,0.0,100,,evacuated
ag00109,Plain,262,1.0,23.2119199185435,0.0,100,,evacuated
ag00110,Plain,265,1.0,63.11344742647841,0.0,100,,evacuated
ag00111,Plain,269,1.0,85.57620386860961,0.0,100,,evacuated
ag00112,Plain,270,1.0,2.023859098685847,0.0,100,,evacuated
ag00113,Plain,272,1.0,34.909718002712154,0.0,100,,evacuated
ag00114,Plain,274,1.0,96.96777543491073,0.0,100,,evacuated
ag00115,Plain,276,1.0,22.159555909115596,0.0,100,,evacuated
ag00117,Plain,281,1.0,99.51140859236075,0.0,100,,evacuated
ag00116,Plain,279,1.0,5.9246117876724185,0.0,100,,evacuated
ag00119,Plain,283,1.0,2.4039533578927887,0.0,100,,evacuated
ag00118,Plain,282,1.0,61.399630258727754,0.0,100,,evacuated
ag00200,Plain,498,1.0,24.823364539950433,0.0,96,,evacuated
